	标点
告上法庭	控告 警
兹事体大	事情 重要
鏖斗	争斗 军 强
笼嘴	用具 驾驭 牲畜
宣布停止敌对状态	发表 停做 境况 不容
何应钦	人 中国 军 专 著名 官
平方根	词语 数量 符号 数学 算术 计算
选为	获胜 经受 选拔
南柯一梦	意愿 实现 未达成
三季稻	庄稼
汗珠	排泄物
土狼	走兽
养殖	饲养 农
传真	图像 邮寄
传真	邮寄
监外执行	处罚 位置 场所 警 扣住 人 有罪 处罚 人 有罪 外
逼供信	强迫 承认 有罪
面向问题语言	语言 编辑 软件
匀称	匀称
救世军	团体 帮助
根本大法	律法 重要
精神分析学	知识 医治 疾病 精神 医
顶点	界限 实体 高于正常 最
顶点	位置 角 点
顶点	部件 头 实体
姑表亲	辈分 人
长野市	地方 市 日本 专
斡旋	调解
供词	语文 承认 有罪 警
太师椅	家具 坐蹲
任凭	放纵
总处理能力	能力 电脑 处理
亡父	人 家庭 直系 男 长辈 死
蜂窝状	形状值
乃尔	特定
打入冷宫	轻视
灌输	教 再
缘故	原因
烦请	词语 表示 要求
釉	材料 装饰
拜拜	词语 表示 离别
拜拜	致敬 部件他移 部件 身 人
旧雨	人 友 亲密
累次	再
松花蛋	食品
笨	讷
笨	不好用
笨	愚
秉钧	得到 政 势力 管理 地方 国家 政
下狠心	愿意 坚决
岛国	地方 国家 政
嚷叫	喊
英寸	单位 英国 距离 长度 宽度
骗人	欺骗 人
骗人	伪
从善如流	遵循 劝说
糜烂	坏掉
糜烂	淫
有为	能
语言学上	知识 语言
装样子	矫揉造作
生理特点	属性 动物
丑角	人 职位 艺 表演
多部门	部件 多 组织 处理 事务
树敌	激怒
分肥	享受 共同 钱财 得到 非法
苯明青霉素	药物 医 消灭 微生物 医 能 导致 疾病
获准	得到 赞成
板岩	土石
要好	亲密
边缘化	变性态 背令
即将来临	即将
出诊	看望 医 医治
拼	发声
拼	卖力
拼	合并
增派	差遣 多 较
颠倒黑白	使误知
单反数码相机	用具 拍摄 变性态 电脑 图像
物色	寻
下大雨	坏天 雨雪 强
代称	姓名 实体 另
团支部	部件 支 团体 中国 政 专 人 青年
鸡冠石	土石 材料 矿
别的什么人	人 他 众
七夕	时间 节 日 祝贺 人 交往 爱恋
七夕	时间 夜
房产权	权利 房屋
定都	建立 地方 国都 政
广开言路	促使 说
歌舞厅	设施 娱乐 唱
到齐	到达 人 全
碎石术	方法 医 医治
承前启后	连接
魁北克大学	场所 加拿大 教育 高等 专 学习 教
尿崩症	疾病
河马	走兽
解忧	消除 忧愁
俯首就擒	遭受 捉住 军 警
拉交情	交往 不诚实
薰衣草属	花草
竞	较量
无端指责	谴责
揉弄	揉弄
池塘	水域 面
中高级军官	人 军队 高等 中等 官 争斗 军
建筑师	人 职位 计划
鬼剃头	疾病
中纪委	部件 团体 中国 政 专 监察 规矩
喜乐	喜悦
痄	文字 中国
篾工	人 职位 木 工
食道癌	疾病 肿胀 不会 医 控制
显怀	露出 怀孕
育儿袋	部件 走兽 供养 走兽 少儿
固态	物理状态 物理 物质 固态
碰锁	用具 打开 关闭
讽刺性	特性值 嘲讽
丙基	化学物
死顶	抗住 倔强
冥顽不化	愚
保健箱	用具 放置 医 药物 用具 医治
谦诚	诚心
任何别的东西	万物 否
内宅	房间
盆腔镜	用具 医 看 部件 骨 动物
五羊城	地方 市 中国 专
重迭	相交
承保人	人 承担 保证
二次	次
警察国家	地方 国家 实施 制度 管理 政 暴 地方 国家
柠檬酸	化学物
城堡	设施 地方 市
职业	事务 职位 赚 活着
职业	永久性 职位
名留青史	著名 永久性
卢沟桥	桥梁 中国 专
谷丙转氨酶	部件 生物学 生物
计票	计算 文书 选拔
家族性息肉病	疾病
蜜汁火方	食品 烹调
民心	情感 人 普通 众
走弯路	出错
智力开发	事情 培养 智慧 人
取悦	取悦
住旅馆	住下 场所 旅游 吃 娱乐 住下
一刹那	时间 短时间
偷越国境	越过 部件 边 地方 国家 政 隐秘
宝宝	人 少儿
没辙	无能
50	基数
法场	设施 警 处罚 杀害 人 有罪
中曾根康弘	人 日本 政 元首 专
Ｘ线	光 诊察 医
高蛋白质食物	食物 特别
配不上	不合格
防风灯	用具 照射
竹筏	船
桂阳	地方 县 中国 专
下方	下
下方	位置 下
记事儿	能够 记得
郾城	地方 县 中国 专
方解石	无生物 矿 原
记录稿	语文 记录
淋浴亭	设施 洗涤 部件 身 人
借吹口哨壮胆	提高 勇 发声
隐居	活着 住下 隐秘
千载一时	少
可可	饮品
必将	功能词
童子	人 少儿 男
函授	教 教育 信件
可压缩	能 缩小
雨纷纷	坏天 雨雪 连续
可以预计	功能词
博物学家	人 研究 知识 物质
艾菲尔铁塔	设施 法国 专 消闲
棱柱	物形 体
香纯	香
散热片	部件 用具 消除 热量
相差无几	不同 否
至今	现在
群鸟	群体 禽
庄户人家	家庭 农
要津	道路 重要
职别	等级 人 职位 人 官
铉	用具
炮座	部件 根 武器 军
姥	人 老年 女
匠人	人 职位 工
对牛弹琴	说 人 不知
胼手胝足	境况 人 悲惨
内收	方向特性值 部件 肉 动物
珠茶	饮品 部件 饮品 毛 树
暇时	时间 闲
插入鞘中	用具 放置 武器 军
受灾面积	面积 地方 遭受 劫难
油水	材料 食物 庄稼
油水	钱财 金融 赚
楱	文字 中国
讲排场	炫耀 钱财
比得上	相等
新星	人 能 出现 新近
遨	走 闲
盘	名量 事情
盘	名量 无生物
盘	价格 时间 商业 人工物
盘	建造
盘	查
盘	盘旋
盘	卖
盘	物形 圆
盘	姓
盘	用具 放置 食物
盘	用具 记录
频数分布	现象 存在 数学
审视	看 细心
隐显墨水	用具 液态 写
仔畜	走兽 少儿
视差	现象 看
语言残障	疾病 能力 利用 语言
人文关怀	事情 注意
豚鼠	走兽
结核杆菌	微生物 医 能 导致 疾病
剩勇	部件 军队 剩余
邪门歪道	规划 罪恶 欺骗
可保存	能 保存
盛装舞步	事情 比赛 体育
次之	不如
薪金	酬金
国优	精
土豹子	禽
预料之外	不会 预料
核能	力量 物质 使动 活动 机器
草本植物	植物 花草
撒娇	取悦
文字学	知识 文字
亚速	地方 伊拉克
在未来的几天里	时间 将来
夏洛特	地方 市 美国 专
陛	部件 络 建筑物
台湾	地方 省 中国""Taiwan台湾 专
层数	比率 部件 络 建筑物
轮次	有序
脱出	脱离
脱出	离开
斜对过	方向特性值 朝向 相互
衣	衣物
衣	部件 皮 物质
出生年月日	时间 问世
海面	部件 皮 水域
种族灭绝	消灭 政 族群
鸡生蛋还是蛋生鸡的问题	不一致
难道	功能词
卡森城	地方 市 美国 专
高手	人 能
鸟声	声 喊 禽
特	不凡
特	人 军 政 侦察 信息 组织 敌 军 政 侦察
特	特意
特	很
经历	感受
经历	经受
程子	时间 久暂
更高风险	境况 群体 人 危 高于正常 较
只得	功能词
准数	多少 实体 精确
乖	反向
乖	仁
乖	灵
不哼不哈	说 否
魔芋	花草 食物
魔芋	部件 根 蔬菜 吃
魔芋	蔬菜
多米尼加人	人 多米尼加
新生儿	人 少儿 生殖 新近
被遗弃	遭受 放弃
汗毛	部件 毛 人
墓	设施 埋入 部件 身 人 死
拌海螺	食品 烹调
太阳	天体
太阳	光 缘于 天体
葛布	材料 衣物 用具
赊账最高额	多少 货币 金融 借出 高于正常 最
为非作歹	从事 事情 有罪
查封	禁止 警
彖	裁定
洲际	之间 陆地
蹦出	出现 跳
诊断书	文书 结果 诊察 医
下夜班	停做 担任
数字通信技术	知识 变性态 电脑 交流
了望	看
机要	机密
降水量	多少 雨雪
丁纳橡胶	材料
年会	事情 集聚 商讨 频度值 时间 年 单
抗得住	抗住
淫笑	笑 淫
君子国	地方 国家 政 高尚
垠	界限 实体
闹翻	争吵
发酵剂	材料 食品
红艳艳	红 浓
疗养	保养 医
原貌	外观 物质 原
直升	上去
薄情郎	人 浮 男 爱恋 经受 爱恋
电话窃听	听 隐秘 交流 用具 交流 距离值 长
编写	编辑
获得性免疫	能力 医 生物 免除 遭受 传染
坏牌	用具 有弊 赌博 娱乐
讲义	读物 教育 学习 教
斩获	结果 得到
不错眼珠	看 专注
文革	劫难 暴动 中国 政 专
更好地	优质
脱衣舞	表演物 表演 剥去 衣物
氛围	场面 群体 地方
落潮	下去 水 水域
成交	实现 商业 事务 买 卖 商业
空乘	人 职位 照料 飞行器
两端	部件 头 尾 物质
遗民	人 众
女双	事情 锻炼 人 女 体育
开会	管理 事情 集聚 商讨
寒微	低等
鳇鱼	鱼
二年生	归属值 植物
舰队	部件 武器 军 船 部件 军队 争斗 水域
明眼人	人 能 智
过河拆桥	逆
后世	人 后裔
后世	时间 将来
白领阶层	人 职位 雇用
放风筝	消闲 使动 飞 用具 消闲
军垦	事情 培养 军队 农
肉身	部件 身 人
锅台转	人 家庭 女
二硫化物	化学物
托运	委托 运送
标点	符号 语文
冲	显现 图像 拍摄
冲	功能词
冲	前进
冲	味浓
冲	烹调
冲	朝向
冲	部件 平 地方 有 陆地 凸
冲	道路 重要
冲	强
冲	洗涤
无能	庸
调防	代替 防守 军
菜	食品 烹调
菜	部件 蔬菜 吃
菜	蔬菜
天沟	部件 络 建筑物
相遇	会面
实心轮胎	部件 部件 腿 车
帆布椅	家具 躺卧 坐蹲
奇僻	功用值 偶尔
撑开	形变 坏掉
撑开	打开
诉述	说明
衡东	地方 县 中国 专
重价	价格 商业 人工物 贵
殡仪馆	场所 从事 事情 埋入 人 死 致哀
心慈	仁
炼铁	纯化 工 金属
艺术创作	编辑 艺
雪雀	禽
专利局	机构 专 处理 权利 保护 知识
荐拔	推荐
野汉子	人 男 活着 共同 非法 结婚 否
无线电视	用具 看 信息 传播
叫喊声	声 发声 喊
牛肝菌红烧豆腐	食品 烹调
喷嚏	事情 呼出
电影节	事情 娱乐 表演物
后事	事情 埋入 人 死 致哀
镇内	位置 地方 市 内
贫弱	穷 无威力
乘积	结果 数学 算术
有备而来	有准备
据实	可靠
通名	使动 知道 人 己
通名	姓名 实体 共通
一挥而就	实现 快
截瘫	瘫麻
惩一儆百	吓唬
威尼斯	地方 市 意大利 专
幼虫	虫 少儿
通船	开始 活动 船
在...之下	下
女侍	人 职位 女 照料 家庭
乐正	姓
扶老携幼	搀扶 人 老年 人 少儿
稚声稚气	少儿
矿物学家	人 有 知识 无生物 矿 原
投射	照射
投射	扔
简慢	粗心
所罗门	地方 亚洲 专
一发千钧	危 很
拘囿于	遵循 呆
吸气	吸入
滨河	地方 中国 专
恣肆	莽
恣肆	落落大方
优渥	有利
汞溴红	药物 液态 涂抹
剪报	部件 书刊 出版 新闻
财产申报制度	制度 人 职位 官 告诉 钱财
驾驶室	部件 车 自动 驾驭
再婚妇女	人 成年 女 结婚 再
二色视	疾病 部件 眼 动物
上电梯	到达 部件 运送 下移 上移
涩味	味道 物质 苦
四射	发射 方向 全
明年3月	时间 月 特定
拔得头筹	获胜
溴	化学物
母语	语言 本土
庚齿	年龄 生物
春汛	现象 上去 高度 水域 时间 春
春汛	时间 春
蝗	虫 飞
病床	家具 医 睡 病态
过火	超
蚓	文字 中国
投药	医治 医 药物
碘酸	化学物
势在必行	已定
酬答	答 语文
酬答	致谢 人工物
绵里藏针	歹
发令	命令
摸底	查 达成
匮乏	不足
太平门	部件 口 建筑物 越过 时间 危
意思	趣味 内容
意思	意愿 期望
意思	情感 感激
意思	信息
金鼓齐鸣	发声 乐器
拉客	吸引 人 商业 买
拉客	勾引 寻欢 人
拉客	运送 人 搭乘
百出	发生 多
嘀嗒	下去
嘀嗒	发声
挤提	取回 货币 金融
璀璨	灿烂
成日	时间 日 全面
包教	约定 承担 教
光凝器	用具 医 医治
嘟嘟	声
谌	姓
参拜	致敬
弩箭	武器 军 发射
年假	时间 冬 消闲 休息
年假	时间 消闲 休息
受得了	抗住
吃不服	厌恶 吃
多长时间	功能词 疑问
独独	单
公费留学	学习 享受 赐 机构 政 官 管理 地方 外国
盟军	军队 结盟
大干部	人 职位 官 高等
蒜头	蔬菜
糊粉	部件 胚 动物
春荒	现象 缺少 材料 食物 庄稼 时间 春
新德里	地方 国都 印度 专
发问	问
寒意	感受 感知 冷
被保证人	人 保证
扳子	用具 放松 勒紧
巢县	地方 县 中国 专
鸡蛋黄	部件 部件 胚 禽 家养
秤星	部件 用具 测量 重量
炒卖	卖 经济 冒险
到任	担任 事务 职位
营业部经理	人 职位 商业 官 管理
赎金	费用 赎
获得者	人 得到
追踪号码	编号 物质 邮寄 寻
企业所得税	费用 征收 多少 钱财 赚
人名录	簿册 记录 姓名 人
芳草	花草 香
汉朝	时间 朝代 中国 皇 专 过去
声情并茂	趣
争议性	能 辩论
直感	感受 感知
缘法	亲疏 人
对过	是 正确 过去
对过	查 完结
对过	位置 朝向 反向
身世乖舛	成为 倒霉
单一	纯
单一	单
逃离	逃跑
深远	深奥
抽税	征收 金融 费用
商行	场所 商业 卖
平均值	多少 实体 平均
过电	触 电
印地语	语言 专
彗星	天体
葛	花草 药物
葛	姓
旗手	人 提升 用具 装饰
充作	当作 假装
别论	事情 另
佛像	用具 拟人 佛教 宗教 致敬
歌子	音乐 唱
春节联欢晚会	事情 娱乐 时间 节 中国 祝贺
皮肤系统	部件 皮 生理学 生物
敞亮	明
身陷囹圄	遭受 有罪 扣住 警
低纬度	标志 大地 线
剃头师傅	人 职位 化妆 部件 毛 人
深海探测仪	用具 测量 水域 深 面
遵	遵循
送信人	人 传送 信件
个人迷信	情感 敬佩
民主革命	事情 暴动
箨	部件 胚 蔬菜 吃
南水北调工程	事情 他移 位置 北 位置 南 水
上级机关	部件 高等 组织
导尿	引导 排泄 排泄物 液态 医治
房屋管理员	人 职位 管理 房屋
任	任命
任	放纵
任	姓
任	担任
寿诞	时间 日 问世
瑞安	地方 市 中国 专
复合维生素B片	药物 改良
踞	坐蹲
复生	复原 活着 死
聩	残疾 听
直抵	到达
操作	控制
焦虑	情感 着急
焦虑	着急
法线	位置 数学 线
作壁上观	从事 否 看
垂	部件他移 下
垂	留给
吃透	领会
总领事馆	机构 外交 处于 地方 国家 政 外国
约莫	大概
抓不起来	无能 管理
综上所述	功能词
庞克摇滚乐	音乐
鸠	禽
平乱	制止 政 暴动
额定值	比率 事件
食补	吃 医 食物 能 改良 改良
路程	距离 变空间位置
继母	人 家庭 女 直系 长辈
莞尔一笑	笑 雅
磁悬浮列车	车 驶 道路 材料 车 金属 线
帼	用具 穿戴 装饰
先下手为强	强过 积极
昆布	低植 吃
家败人亡	成为 倒霉
枯骨	部件 骨 动物 死
密报	告诉 隐秘
密报	语文 机密
四分之一决赛	事情 比赛 体育
水上警察	机构 水域 警
芒德	地方 市 法国 专
轻油	材料 液态 焚烧
冤家路窄	会面
花红柳绿	彩
不可或缺	必要
身世	感受
生物钟	速度 生物学 生物 活动
大吹大擂	炫耀
难能可贵	珍
粮食理事会	部件 机构 联合国 政 专 国际
主人翁	人 读物
主人翁	人 有
水火无情	劫难
村落	地方 乡
倾斜	拥护
倾斜	歪
倾斜	倾斜
击节叹赏	夸奖 打 部件 手 人
泰姬陵	设施 印度 专 消闲
棉籽油	材料 食物 庄稼
阻断	阻止
战败国	地方 国家 军 输掉
扣减	削减
在任	担任 职位 事务 管理 政
首倡	开始
行楷	样式 文字
非职业化	变性态 永久性 否 职位
大型喷气客机	飞行器 运送 人
表音	表示 声
寿星	人 老年
经济犯罪	事情 钱财 有罪
承包	承担
后影	痕 光 部件 身 后 人
封套	用具 放置 信件
自由民主	自由度 实体 事件 制度 政 公正
榄	水果
牵引车	车 拉
他们中只有寥寥几个	人 他 众
劳保	事务 保证 保险
劳保	制度 保护 人 从事
硕	大
则	功能词
则	名量 语文
则	标准 实体 事件
则	律法
谜	问题 难 弄懂
谜	问题 猜测 娱乐
肫	部件 脏 动物
肫	真
毕恭毕敬	有礼
罪过	词语 表示 道歉
罪过	结果 误
白糖	材料 食物 甜
先河	部件 始 过程
伏贴	当 尺寸 衣物
山口市	地方 市 日本 专
一无所有	穷 极
冲昏头脑	傲
打伙	建立 群体 合并
隐伏	藏匿
关说	说 代替
扫帚	用具 擦拭
国力	力量 地方 国家 政
驴皮胶	药物
畜	牲畜
提行李	收 人工物 携带 旅游
有保留的	特性值 有 意愿 需求
玲	文字 中国
放送	传播
翻滚	滚
步步高升	经受 升级 连续
克利夫兰	地方 市 美国 专
宰客	提出 价格 商业 不当
连中三元	成功 连续 多
高原	陆地 面 凸
崩落	形变 坏掉 下去
超尘拔俗	脱俗
核黄素	药物
热键	软件
黑面包	食品
技术转让	事情 给 知识
西斯瓦提语	语言 专
畏途	境况 群体 人 危
畏途	道路 危
奸诈	狡
害月子	病态 怀孕
灵巧炸弹	武器 军
一锅端	消灭 全面
教材	读物 教育 学习 教
卤水牛舌	食品 烹调
白费口舌	说 无效果
吃吃看	吃 试试
老化	衰败 老年
彩纸	材料 彩 画 包扎 写
面糊糊	食品
嘱	命令
紧密相联	有关
含糊地	含混
脚底下	位置 部件 根 无生物 下
巴罗克风格	风格 建筑物 装饰
无可辩驳	庸 反驳
临界线	位置 重要 化学 物理
